asin,url,title,price,old_price,discount,stock,reviews_count,age_range,weight,short_description
B0CXTQP2B4,https://www.amazon.de/Fisher-Price-Sorting-Transport-Activities-HTW93/dp/B0CXTQP2B4?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price Baby Shape Sorting Toy FP Pets Sorting and Animal Transport Box with Fine Motor Activities for Babies from 6 Months HTW93,€23.71,€24.97,-5%,,38 global ratings,Warning: not suitable for children under 36 months.,Warning: not suitable for children under 36 months.,"Cute sorting toy with animal motifs and animal transport box for fine motor fun with an animal theme
Includes 4 animal themed blocks and 4 shape blocks for sorting into the animal transport box
Helps babies and toddlers get to know shapes, colors and pets
In combination with other Fisher-Price FP Pets toys, animal fun comes into the house. (All items sold separately.)
Encourages babies from 6 months to play and promotes their problem solving skills"
B0CDWRV1HT,https://www.amazon.de/FISHER-PRICE-Construction-Vehicle-Toy-Promotes/dp/B0CDWRV1HT?ref_=ast_sto_dp&th=1&psc=1,"FISHER-PRICE Construction Vehicle Toy - Sounds and Phrases, Promotes Numbers, Colours and Shapes, with Crane, Globe Button and Music, for Children from 9 Months, English, French, German Version HXF48",€16.99,€32.99,-48%,Only 17 left in stock (more on the way).,40 global ratings,9 months and up,10.79 x 27.94 x 27.94 cm; 645 g,"Push construction vehicle toy with more than 50 sounds and phrases to introduce children to numbers, counting, colours and shapes
The crane detects the blocks when stacked or interlocked and reacts to them with lights, sounds and phrases. The globe button selects the desired language: English, German or French.
Press the music button or open and close the peep lion door for more lights and sounds
The tear-off ball rattles and clacks great for even more sensory fun.
Promotes fine and gross motor skills of babies and toddlers aged 9 months to 3 years"
B0DLCSDD84,https://www.amazon.de/Fisher-Price-JDL63-Crawling-Activity-Toddlers/dp/B0DLCSDD84?ref_=ast_sto_dp,"Fisher-Price JDL63 Baby Toy Polar Bear Crawling Bear, Animal Activity Vehicle with Sensory Details for Toddlers from 9 Months",€12.99,€22.99,,In stock,15 global ratings,,No warning is applicable,"Polar bear toy that rolls off at the touch of a button and encourages babies to crawl after their animal friend
By pressing on the bear's body, it rushes forward
The bear's head makes fun clacking sounds when spinning
Sensory toy: soft fabric tail for exploration by children's hands
Promotes fine and gross motor skills, cause and effect and sensory development of babies and toddlers from 9 months"
B0CB6LP1PV,https://www.amazon.de/FISHER-PRICE-Fahrzeugpuzzle-Formen-Ger%C3%A4usche-Formensortierspielzeug/dp/B0CB6LP1PV?ref_=ast_sto_dp,"FISHER-PRICE Fahrzeugpuzzle Formen und Geräusche - Formensortierspielzeug mit 40 Liedern und Geräuschen, inklusive Lichter für interaktiven Spielspaß, ab 9 Monaten, HRP31",€21.75,€22.99,-5%,Only 3 left in stock.,117 global ratings,,4.45 x 27.94 x 27.94 cm; 415 g,"2-in-1 puzzle and shape sorting toy with vehicle theme with 40 songs and sounds, plus lights for even more fun
Includes 4 vehicle puzzle pieces and 4 animal shapes to practice recognition of shapes
Insert the puzzle pieces and shapes into the platform to activate vehicle and animal sounds as well as lights
Press the sun button to activate additional sounds for interactive music play
Promotes the development of fine motor skills and conveys the principle of problem solving for babies and toddlers from 9 months"
B0CQMDRV25,https://www.amazon.de/Fisher-Price-Sensory-Activity-Activities-HTW91/dp/B0CQMDRV25?ref_=ast_sto_dp,"Fisher-Price Baby Sensory Toy FP Pets Click & Turn Activity Puppy with Fine Motor Activities for Babies from 6 Months, HTW91",€14.49,€15.49,-6%,In stock,159 global ratings,,8.6 x 23.86 x 11.07 cm; 0.35 g,"Baby toy in the shape of a cute dog with sensory activities for home or on the go
Rolling with rattle beads for shaking and turning and tail with clicking sounds for stimulating sensory play
Soft ears and flags for little hands to grasp and discover
In combination with other Fisher-Price FP Pets toys, animal fun comes into the house. (All items sold separately.)
To stimulate the senses and promote fine motor skills for babies and toddlers from 6 months"
B0CSSJH21J,https://www.amazon.de/Fisher-Price-Cuddly-Sensory-Separately-HXK44/dp/B0CSSJH21J?ref_=ast_sto_dp,"Fisher-Price My First Cuddly Doll, Sensory Toy for Babies from 6 Months, Dolls Sold Separately, HXK44",€13.23,€14.99,-12%,Only 3 left in stock.,93 global ratings,,No warning is applicable,"A collection of soft, cuddly dolls that playfully celebrate diversity
Includes 1 doll with attached baby teether (all dolls sold separately)
Different fabrics, textures and gentle sounds provide a captivating sensory play
Encourages role play at a young age
Helps to give babies from 6 months a sense of safety and well-being"
B0DMW9MBSM,https://www.amazon.de/Fisher-Price-JGG97-Anniversary-Children-Toddlers/dp/B0DMW9MBSM?ref_=ast_sto_dp,Fisher-Price Mattel JGG97 Baby Toy Red Chatter Phone 80th Anniversary Edition Toy for Children and Toddlers from 1 Year,€15.99,€16.74,-4%,Only 8 left in stock.,24 global ratings,12 months and up,16 x 19.5 x 10.7 cm; 400 g,"Celebrate Mattel's 80th anniversary with this classic Fisher-Price babbler phone in iconic red mattel look
Grows with your baby. From playing while sitting to pulling behind as soon as the child can walk
With the dial, children learn the numbers from 0-9, funny phone bell sounds sound when turning!
The eyes of the phone move up and down when children pull the toy behind them and motivates them to move
This toy promotes gross motor skills, sensory skills and early role play in children and toddlers from 1 year old"
B0BXLW6CN9,https://www.amazon.de/Fisher-Price-HJP90-Interactive-Learning-Suspension/dp/B0BXLW6CN9?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price DJ Hüpfi HJP90 Interactive Learning Toy for Dance, Move and Bounce with Music and Suspension Version Dutch English French German Italian",€39.18,€49.99,-22%,In stock,19 global ratings,9 months - 3 years,16.9 x 29.6 x 33 cm; 1.3 kg,"Interactive educational toy with music and suspension on the bottom for motorised bouncing fun
Three Smart Stages learning levels guide the child to the ABC, colours, counting from 1 to 10 and opposites. Press the globe button to select the desired language: Dutch, French, German, Italian or English
By pressing the buttons for music and learning fun, more than 75 melodies, sounds and phrases are played, colourful lights or bouncing fun are activated
By pressing the microphone button, a recording can be started and played with fun filters
Educational toy for babies and toddlers between 9 and 36 months to dance, move and bounce"
B0CXTQWQWM,https://www.amazon.de/Fisher-Price-Pull-Along-Movement-Children-HTW94/dp/B0CXTQWQWM?ref_=ast_sto_dp,"Fisher-Price Baby & Toddler Pull-Along Toy FP Pets Walking with Puppy with Movement and Sounds for Children from 12 Months, HTW94",€10.99,€14.99,-27%,In stock,136 global ratings,,1 x 1 x 1 cm; 0.35 g,"Cute puppy pull-along toy with movement and sounds for toddler-friendly play
The ears wobble, the legs move and the puppy barks when pulled on the lead
The pull-along toy stimulates running and promotes gross motor skills
In combination with other Fisher-Price FP Pets toys, animal fun comes into the house. (All items sold separately.)
Great gift for dog loving babies and toddlers aged 12 months and up"
B0CN8XJB15,https://www.amazon.de/-/en/dp/B0CN8XJB15?plattr=AVFOOT1&ie=UTF-8&ref_=AVFOOT1,,,,,,24.873 global ratings,,,
B08C81BZBH,https://www.amazon.de/-/en/dp/B08C81BZBH?pr=DEGIL&plattr=footer&place=camp&ie=UTF-8&ref_=NAV_instalments_footer,,,,,,8.136 global ratings,,,
B08HYJ6K1J,https://www.amazon.de/-/en/dp/B08HYJ6K1J?plattr=ACOMFO&ie=UTF-8&ref_=b2b_sow_sbcc_de_acom_omp_na_footer_nca_202104,,,,,,2.178 global ratings,,,
